Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,1.6161e-06,0.11981
0.030069,-7.1358e-07,0.94433
0.03161,4.1277e-07,1.712
0.033231,2.9042e-07,2.0893
0.034935,1.5681e-06,0.35811
0.036726,1.5069e-06,0.33017
0.038609,1.7356e-06,0.25504
0.040589,8.8336e-07,0.45503
0.04267,1.3805e-06,0.27865
0.044857,1.3552e-06,0.26456
0.047157,1.8301e-06,0.17926
0.049575,1.6978e-06,0.17756
0.052117,1.839e-06,0.14152
0.054789,1.5761e-06,0.14319
0.057598,9.5738e-07,0.21539
0.060551,1.3674e-06,0.13526
0.063656,1.5613e-06,0.10703
0.066919,1.2957e-06,0.12028
0.07035,1.4478e-06,0.096201
0.073957,1.1499e-06,0.11222
0.077749,1.3747e-06,0.087105
0.081735,1.3058e-06,0.088775
0.085926,1.4255e-06,0.077572
0.090332,1.3905e-06,0.073253
0.094963,1.3073e-06,0.073651
0.099832,1.5202e-06,0.063358
0.10495,1.584e-06,0.057442
0.11033,1.5358e-06,0.057387
0.11599,1.7239e-06,0.049571
0.12193,1.6285e-06,0.050049
0.12819,1.6771e-06,0.048179
0.13476,1.8011e-06,0.044307
0.14167,1.7132e-06,0.044136
0.14893,1.6235e-06,0.045448
0.15657,1.672e-06,0.043812
0.16459,1.6652e-06,0.043228
0.17303,1.7433e-06,0.040863
0.18191,1.9404e-06,0.036967
0.19123,1.8873e-06,0.036828
0.20104,1.9528e-06,0.036214
0.21134,2.0135e-06,0.035607
0.22218,2.1829e-06,0.032733
0.23357,2.1426e-06,0.032955
0.24555,2.1511e-06,0.033022
0.25814,2.3437e-06,0.030251
0.27137,2.4719e-06,0.030392
0.28528,2.4027e-06,0.029549
0.29991,2.5185e-06,0.030141
0.31529,2.4769e-06,0.030263
0.33145,2.6374e-06,0.02842
0.34845,2.6686e-06,0.028382
0.36631,2.6157e-06,0.029229
0.38509,2.5887e-06,0.029255
0.40484,2.7475e-06,0.027898
0.42559,2.651e-06,0.028664
0.44742,2.663e-06,0.028607
0.47035,2.8071e-06,0.027586
0.49447,2.7301e-06,0.02837
0.51982,2.7456e-06,0.028188
0.54647,2.5138e-06,0.029836
0.57449,2.298e-06,0.032183
0.60395,1.6727e-06,0.040355
0.63491,2.1801e-06,0.032929
0.66747,2.8829e-06,0.027617
0.70169,3.0039e-06,0.026979
0.73766,2.9612e-06,0.027794
0.77548,2.827e-06,0.028499
0.81524,2.8563e-06,0.028824
0.85704,3.1021e-06,0.027371
0.90098,3.0573e-06,0.02761
0.94718,3.4021e-06,0.025812
0.99574,3.1651e-06,0.028366
1.0468,3.3552e-06,0.027231
1.1005,3.4337e-06,0.026711
1.1569,3.6203e-06,0.025912
1.2162,3.4728e-06,0.026746
1.2786,3.7534e-06,0.025758
1.3441,3.7014e-06,0.026391
1.413,3.9878e-06,0.025144
1.4855,3.8834e-06,0.026031
1.5616,3.8742e-06,0.026733
1.6417,3.8129e-06,0.027087
1.7259,4.0189e-06,0.032832
1.8144,3.9726e-06,0.032079
1.9074,3.6846e-06,0.032772
2.0052,3.9523e-06,0.030552
2.108,3.3341e-06,0.034221
2.2161,3.1276e-06,0.034759
2.3297,2.9956e-06,0.035397
2.4491,2.8287e-06,0.036637
2.5747,2.5296e-06,0.038314
2.7067,1.8791e-06,0.04445
2.8455,1.6082e-06,0.047407
2.9914,1.8216e-06,0.045401
3.1447,2.1752e-06,0.040575
3.306,2.0826e-06,0.042809
3.4755,2.0555e-06,0.045445
3.6537,2.3303e-06,0.040753
3.841,2.3098e-06,0.042096
4.0379,2.4124e-06,0.039896
4.245,2.5067e-06,0.039801
4.4626,2.3237e-06,0.041495
4.6914,2.3248e-06,0.041331
4.9319,2.6518e-06,0.037372
5.1848,2.3758e-06,0.042486
5.4506,2.5574e-06,0.041147
5.7301,2.5727e-06,0.041477
6.0239,2.7087e-06,0.040394
6.3327,2.8755e-06,0.039869
6.6574,3.1754e-06,0.038133
6.9988,3.1465e-06,0.03892
7.3576,3.4376e-06,0.037779
7.7348,3.5964e-06,0.03816
8.1314,3.7572e-06,0.038114
8.5483,3.4864e-06,0.041033
8.9866,3.4809e-06,0.042753
9.4473,3.4552e-06,0.041866
9.9317,3.7443e-06,0.040771
10.441,4.395e-06,0.037833
10.976,5.3852e-06,0.033557
11.539,6.7798e-06,0.029981
12.131,9.2223e-06,0.025138
12.753,8.9854e-06,0.025804
13.406,1.4857e-05,0.019514
14.094,4.3022e-05,0.011068
14.816,7.6982e-05,0.0081798
15.576,3.619e-05,0.011716
16.375,2.4134e-06,0.045339
17.214,4.8092e-08,0.35846
18.097,3.7576e-09,3.7868
19.025,-1.8578e-08,0.89612
20.0,2.0553e-08,0.73041
