Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,5.9595e-07,0.1581
0.49451,4.6727e-07,0.18997
0.50703,5.5626e-07,0.16265
0.51986,5.0858e-07,0.1716
0.53302,6.5642e-07,0.13342
0.54652,6.0344e-07,0.13936
0.56035,7.9398e-07,0.096301
0.57454,7.8753e-07,0.095272
0.58908,6.5238e-07,0.11324
0.60399,7.331e-07,0.10179
0.61929,7.847e-07,0.098032
0.63496,7.1496e-07,0.10114
0.65104,8.8592e-07,0.081081
0.66752,8.6664e-07,0.087004
0.68442,8.9644e-07,0.080549
0.70174,9.6231e-07,0.074314
0.71951,9.2484e-07,0.07515
0.73772,8.7761e-07,0.079608
0.7564,8.9789e-07,0.074805
0.77554,9.8187e-07,0.070558
0.79518,9.8145e-07,0.067128
0.81531,1.0197e-06,0.063484
0.83595,1.0158e-06,0.065394
0.85711,1.0149e-06,0.063832
0.87881,1.2333e-06,0.054908
0.90105,1.0155e-06,0.065885
0.92386,1.1976e-06,0.058218
0.94725,1.0704e-06,0.062563
0.97123,1.067e-06,0.064765
0.99582,9.9667e-07,0.068153
1.021,1.1446e-06,0.063616
1.0469,1.1347e-06,0.061891
1.0734,1.2104e-06,0.05954
1.1006,1.1252e-06,0.061839
1.1284,1.3247e-06,0.054541
1.157,1.2948e-06,0.052297
1.1863,1.1475e-06,0.062145
1.2163,1.237e-06,0.057541
1.2471,1.2902e-06,0.055312
1.2787,1.3228e-06,0.05617
1.311,1.3717e-06,0.054103
1.3442,1.2873e-06,0.058316
1.3782,1.2984e-06,0.059744
1.4131,1.3816e-06,0.055021
1.4489,1.2718e-06,0.059198
1.4856,1.4531e-06,0.051525
1.5232,1.4352e-06,0.054116
1.5618,1.4134e-06,0.053559
1.6013,1.4299e-06,0.053338
1.6418,1.5454e-06,0.05025
1.6834,1.3904e-06,0.057305
1.726,1.4028e-06,0.059138
1.7697,1.5271e-06,0.053918
1.8145,1.6516e-06,0.049518
1.8604,1.544e-06,0.054284
1.9075,1.5021e-06,0.055013
1.9558,1.5665e-06,0.054713
2.0053,1.5228e-06,0.053279
2.0561,1.4698e-06,0.055431
2.1081,1.4018e-06,0.05981
2.1615,1.3276e-06,0.062447
2.2162,1.4319e-06,0.057976
2.2723,1.2824e-06,0.064796
2.3299,1.4427e-06,0.05609
2.3888,1.3739e-06,0.060238
2.4493,1.1855e-06,0.067677
2.5113,1.2316e-06,0.065609
2.5749,1.2352e-06,0.062791
2.6401,1.0876e-06,0.069259
2.7069,9.7751e-07,0.077546
2.7754,9.5049e-07,0.075542
2.8457,9.8115e-07,0.0737
2.9177,1.0514e-06,0.07028
2.9916,1.0528e-06,0.069028
3.0673,1.087e-06,0.066101
3.145,9.4911e-07,0.071834
3.2246,9.3233e-07,0.071132
3.3062,6.9794e-07,0.097896
3.3899,7.662e-07,0.079783
3.4758,8.7548e-07,0.074305
3.5637,9.8009e-07,0.075657
3.654,1.1732e-06,0.061681
3.7465,1.3162e-06,0.058624
3.8413,1.4191e-06,0.055716
3.9385,1.4362e-06,0.056997
4.0382,1.5347e-06,0.052214
4.1405,1.6534e-06,0.051855
4.2453,1.755e-06,0.04787
4.3528,1.6879e-06,0.053299
4.463,1.7888e-06,0.051962
4.5759,1.6292e-06,0.0558
4.6918,1.5944e-06,0.054203
4.8105,1.6845e-06,0.055181
4.9323,1.5323e-06,0.059466
5.0572,1.3179e-06,0.06775
5.1852,1.2666e-06,0.068202
5.3165,1.3146e-06,0.06764
5.4511,1.0939e-06,0.075346
5.5891,9.9264e-07,0.07763
5.7305,9.3542e-07,0.086103
5.8756,7.2928e-07,0.097155
6.0244,7.8915e-07,0.093313
6.1769,7.8026e-07,0.098557
6.3332,1.0552e-06,0.080432
6.4936,1.2472e-06,0.071324
6.6579,1.0541e-06,0.084702
6.8265,1.2139e-06,0.071789
6.9993,1.0377e-06,0.084298
7.1765,8.4073e-07,0.099805
7.3582,9.245e-07,0.094128
7.5444,8.3424e-07,0.093919
7.7354,9.7184e-07,0.091333
7.9312,1.4383e-06,0.070774
8.132,1.8861e-06,0.058397
8.3379,2.3277e-06,0.050872
8.549,2.4802e-06,0.050484
8.7654,2.7675e-06,0.049628
8.9873,3.582e-06,0.041682
9.2148,4.1577e-06,0.038857
9.4481,4.3305e-06,0.038585
9.6872,4.5735e-06,0.038044
9.9325,3.2447e-06,0.048653
10.184,2.2397e-06,0.057396
10.442,1.3496e-06,0.083853
10.706,1.0586e-06,0.097248
10.977,1.1477e-06,0.091416
11.255,1.4039e-06,0.082123
11.54,1.835e-06,0.068467
11.832,2.1415e-06,0.062912
12.132,3.0985e-06,0.048968
12.439,3.6368e-06,0.044515
12.754,4.3191e-06,0.041215
13.076,5.2131e-06,0.037287
13.407,7.1663e-06,0.031412
13.747,9.5704e-06,0.026833
14.095,1.111e-05,0.024839
14.452,9.0432e-06,0.027716
14.818,4.3898e-06,0.040838
15.193,1.309e-06,0.076562
15.577,3.4206e-07,0.15753
15.972,6.4253e-08,0.49699
16.376,5.5349e-09,5.6397
16.79,7.1555e-08,0.37166
17.216,1.0402e-08,2.7691
17.651,1.0921e-08,2.2982
18.098,2.4222e-08,0.89519
18.556,1.1412e-08,2.3096
19.026,1.4737e-08,1.8902
19.508,2.7695e-08,0.79315
20.002,-3.6124e-08,0.73624
