Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-1.6689e-07,0.0
0.03161,-7.3119e-07,0.0
0.033231,-8.1735e-07,0.27666
0.034935,-2.9159e-07,0.88888
0.036726,-4.4108e-07,0.54129
0.038609,-4.0201e-07,0.52192
0.040589,-4.6344e-08,4.0488
0.04267,2.8887e-07,0.63124
0.044857,-2.7707e-07,0.60905
0.047157,2.6213e-07,0.60044
0.049575,5.5188e-08,2.4645
0.052117,3.5765e-07,0.34002
0.054789,4.2914e-07,0.24239
0.057598,4.4827e-07,0.2112
0.060551,3.8994e-07,0.22261
0.063656,6.1755e-07,0.1257
0.066919,7.1761e-07,0.10192
0.07035,7.7181e-07,0.088074
0.073957,7.1306e-07,0.088711
0.077749,7.1082e-07,0.080484
0.081735,9.5519e-07,0.059772
0.085926,7.5063e-07,0.068317
0.090332,4.0177e-07,0.11522
0.094963,5.3083e-07,0.083971
0.099832,6.9355e-07,0.062802
0.10495,8.9284e-07,0.049675
0.11033,1.0122e-06,0.04331
0.11599,1.3209e-06,0.034492
0.12193,1.4956e-06,0.031358
0.12819,1.8939e-06,0.025876
0.13476,2e-06,0.024874
0.14167,2.0043e-06,0.024091
0.14893,1.2391e-06,0.032154
0.15657,1.436e-06,0.028092
0.16459,1.9799e-06,0.022068
0.17303,2.2003e-06,0.020454
0.18191,2.0675e-06,0.020552
0.19123,2.0454e-06,0.020391
0.20104,1.3107e-06,0.026912
0.21134,1.5925e-06,0.02419
0.22218,2.1652e-06,0.019839
0.23357,2.086e-06,0.02032
0.24555,2.3959e-06,0.018283
0.25814,2.7393e-06,0.016742
0.27137,3.4107e-06,0.014864
0.28528,3.9455e-06,0.013796
0.29991,4.2333e-06,0.013095
0.31529,4.9641e-06,0.012121
0.33145,4.2866e-06,0.013234
0.34845,4.3323e-06,0.012987
0.36631,4.9234e-06,0.012075
0.38509,3.7732e-06,0.014185
0.40484,2.5702e-06,0.017882
0.42559,2.4419e-06,0.018687
0.44742,3.1842e-06,0.015686
0.47035,3.7844e-06,0.014159
0.49447,4.0407e-06,0.013305
0.51982,3.9461e-06,0.013423
0.54647,4.4038e-06,0.012531
0.57449,5.4303e-06,0.011218
0.60395,6.9336e-06,0.0098695
0.63491,8.1923e-06,0.0091671
0.66747,7.4679e-06,0.0096754
0.70169,5.522e-06,0.011419
0.73766,4.962e-06,0.012071
0.77548,3.4107e-06,0.014888
0.81524,3.2443e-06,0.015244
0.85704,3.9436e-06,0.01371
0.90098,4.2265e-06,0.013431
0.94718,4.6365e-06,0.01289
0.99574,4.7853e-06,0.012894
1.0468,3.6963e-06,0.014671
1.1005,3.5665e-06,0.015252
1.1569,4.0541e-06,0.014282
1.2162,4.1852e-06,0.014085
1.2786,3.6095e-06,0.015419
1.3441,2.9147e-06,0.017493
1.413,2.7572e-06,0.018601
1.4855,2.6794e-06,0.019003
1.5616,2.477e-06,0.020182
1.6417,2.402e-06,0.020638
1.7259,2.6445e-06,0.026104
1.8144,2.4013e-06,0.026808
1.9074,2.0558e-06,0.028518
2.0052,1.8229e-06,0.029591
2.108,1.7531e-06,0.030844
2.2161,1.6743e-06,0.030887
2.3297,1.6024e-06,0.031252
2.4491,1.3825e-06,0.03396
2.5747,1.1828e-06,0.036772
2.7067,1.2858e-06,0.034055
2.8455,1.159e-06,0.035616
2.9914,1.1349e-06,0.036092
3.1447,9.955e-07,0.038986
3.306,8.8711e-07,0.043728
3.4755,8.6896e-07,0.043267
3.6537,7.4058e-07,0.049753
3.841,6.8154e-07,0.051212
4.0379,6.9507e-07,0.050377
4.245,5.8635e-07,0.058009
4.4626,6.1034e-07,0.055861
4.6914,5.4759e-07,0.058164
4.9319,6.066e-07,0.054502
5.1848,5.2628e-07,0.061922
5.4506,4.7239e-07,0.068474
5.7301,4.3322e-07,0.070459
6.0239,4.3261e-07,0.074113
6.3327,4.3306e-07,0.073126
6.6574,3.7858e-07,0.085526
6.9988,4.1611e-07,0.082693
7.3576,3.3642e-07,0.10246
7.7348,3.5846e-07,0.095832
8.1314,3.8454e-07,0.091849
8.5483,3.6691e-07,0.097686
8.9866,3.9934e-07,0.092833
9.4473,4.5714e-07,0.087409
9.9317,4.2857e-07,0.097548
10.441,6.0194e-07,0.07392
10.976,4.7222e-07,0.092046
11.539,4.2552e-07,0.094844
12.131,5.3236e-07,0.079071
12.753,5.4554e-07,0.080678
13.406,1.3146e-06,0.043792
14.094,3.9544e-06,0.023881
14.816,1.5011e-05,0.012076
15.576,7.4865e-06,0.016778
16.375,7.8914e-07,0.053299
17.214,2.0995e-07,0.10456
18.097,4.9954e-08,0.24563
19.025,6.6022e-09,1.0669
20.0,2.8669e-09,2.7956
