Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,1.0758e-08,0.0
0.030069,1.05e-07,0.0
0.03161,3.9934e-07,0.63754
0.033231,-2.8822e-07,1.2377
0.034935,4.8136e-09,63.364
0.036726,2.2511e-07,1.2876
0.038609,1.612e-07,1.5773
0.040589,-8.4049e-08,2.6306
0.04267,3.9776e-07,0.543
0.044857,1.8913e-07,1.0336
0.047157,1.6973e-07,1.0728
0.049575,3.575e-07,0.45852
0.052117,4.4276e-07,0.32231
0.054789,1.5466e-08,8.1774
0.057598,6.6072e-08,1.7092
0.060551,1.0484e-07,0.96049
0.063656,1.4763e-07,0.57795
0.066919,1.9365e-07,0.42145
0.07035,1.2716e-07,0.57327
0.073957,2.2368e-07,0.30943
0.077749,6.7149e-08,0.92093
0.081735,5.2866e-08,1.1019
0.085926,1.392e-07,0.40249
0.090332,1.4414e-07,0.36432
0.094963,1.5961e-07,0.30186
0.099832,1.9248e-07,0.24253
0.10495,1.9823e-07,0.22289
0.11033,2.0802e-07,0.20779
0.11599,1.8258e-07,0.22074
0.12193,1.3189e-07,0.29913
0.12819,1.7776e-07,0.21351
0.13476,2.1293e-07,0.17555
0.14167,2.371e-07,0.14987
0.14893,2.2949e-07,0.15307
0.15657,2.5492e-07,0.13544
0.16459,1.8358e-07,0.18242
0.17303,2.1847e-07,0.15167
0.18191,1.889e-07,0.16986
0.19123,2.2394e-07,0.14364
0.20104,3.2106e-07,0.097989
0.21134,3.1657e-07,0.099647
0.22218,3.0177e-07,0.10832
0.23357,3.0849e-07,0.10352
0.24555,3.5397e-07,0.092075
0.25814,2.9805e-07,0.10973
0.27137,3.7363e-07,0.087032
0.28528,3.9393e-07,0.083077
0.29991,3.9337e-07,0.08363
0.31529,3.6471e-07,0.090454
0.33145,4.1236e-07,0.080675
0.34845,4.3109e-07,0.079943
0.36631,4.0107e-07,0.083251
0.38509,3.8789e-07,0.088433
0.40484,4.0608e-07,0.08588
0.42559,4.865e-07,0.075862
0.44742,5.3795e-07,0.070502
0.47035,5.8573e-07,0.064605
0.49447,6.167e-07,0.062619
0.51982,6.9692e-07,0.055575
0.54647,7.0221e-07,0.055444
0.57449,7.787e-07,0.052829
0.60395,8.2729e-07,0.049896
0.63491,6.6835e-07,0.060736
0.66747,7.2964e-07,0.056761
0.70169,8.2399e-07,0.051906
0.73766,8.419e-07,0.05191
0.77548,1.0298e-06,0.044246
0.81524,1.1462e-06,0.041826
0.85704,1.1529e-06,0.042378
0.90098,1.2431e-06,0.041368
0.94718,1.2635e-06,0.041765
0.99574,1.0059e-06,0.050646
1.0468,1.0978e-06,0.047353
1.1005,1.2185e-06,0.045067
1.1569,1.4343e-06,0.039826
1.2162,1.337e-06,0.043707
1.2786,1.2155e-06,0.04807
1.3441,1.062e-06,0.05476
1.413,1.0362e-06,0.057374
1.4855,1.1489e-06,0.054723
1.5616,1.2005e-06,0.053455
1.6417,1.2406e-06,0.0519
1.7259,1.2531e-06,0.058569
1.8144,1.2693e-06,0.05705
1.9074,1.3505e-06,0.054641
2.0052,1.4599e-06,0.049748
2.108,1.3669e-06,0.052356
2.2161,1.301e-06,0.05478
2.3297,1.3108e-06,0.05331
2.4491,1.3741e-06,0.051406
2.5747,1.4445e-06,0.050315
2.7067,1.5318e-06,0.046099
2.8455,1.3883e-06,0.049412
2.9914,1.3592e-06,0.049419
3.1447,1.1228e-06,0.056888
3.306,1.139e-06,0.05515
3.4755,9.3221e-07,0.062371
3.6537,9.0809e-07,0.066057
3.841,7.9865e-07,0.070603
4.0379,8.4932e-07,0.067037
4.245,1.0292e-06,0.059891
4.4626,9.1825e-07,0.065033
4.6914,1.0758e-06,0.059188
4.9319,1.2871e-06,0.052386
5.1848,1.1912e-06,0.05602
5.4506,1.0948e-06,0.060407
5.7301,9.588e-07,0.069802
6.0239,1.0035e-06,0.067925
6.3327,9.1448e-07,0.075644
6.6574,9.1309e-07,0.079654
6.9988,9.3065e-07,0.081009
7.3576,1.0864e-06,0.074967
7.7348,1.2592e-06,0.068777
8.1314,1.5619e-06,0.059585
8.5483,1.7471e-06,0.059165
8.9866,1.5618e-06,0.068242
9.4473,1.4369e-06,0.074616
9.9317,1.0891e-06,0.094519
10.441,1.2721e-06,0.084945
10.976,1.0022e-06,0.10898
11.539,1.4341e-06,0.080154
12.131,2.1273e-06,0.060001
12.753,5.0166e-06,0.032003
13.406,9.4314e-06,0.021668
14.094,1.3024e-05,0.017538
14.816,1.8491e-05,0.014343
15.576,7.3978e-06,0.022414
16.375,1.3938e-06,0.052662
17.214,4.3848e-07,0.10212
18.097,1.4579e-07,0.1906
19.025,2.1779e-08,0.85538
20.0,3.1913e-08,0.49256
