Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-1.0383e-07,0.0
0.03161,-1.8886e-07,0.0
0.033231,4.1792e-08,4.1842
0.034935,1.9855e-07,0.84571
0.036726,-2.6363e-08,5.6095
0.038609,1.6217e-07,0.84546
0.040589,-1.2222e-07,1.0106
0.04267,1.2184e-07,0.89969
0.044857,-8.479e-08,1.2668
0.047157,1.0772e-07,0.91219
0.049575,2.1273e-07,0.41613
0.052117,1.6718e-07,0.45453
0.054789,2.0818e-07,0.33104
0.057598,1.8868e-07,0.31749
0.060551,1.7662e-07,0.30228
0.063656,2.3465e-07,0.20176
0.066919,1.3118e-07,0.33535
0.07035,1.8282e-07,0.21822
0.073957,1.6785e-07,0.21803
0.077749,1.1676e-07,0.28867
0.081735,1.9209e-07,0.16198
0.085926,2.277e-07,0.13325
0.090332,1.5681e-07,0.17829
0.094963,2.0129e-07,0.13434
0.099832,1.8391e-07,0.13926
0.10495,2.1195e-07,0.11413
0.11033,2.1676e-07,0.10821
0.11599,1.7316e-07,0.13108
0.12193,2.2124e-07,0.097438
0.12819,2.3619e-07,0.090528
0.13476,1.8443e-07,0.10978
0.14167,2.3219e-07,0.0862
0.14893,2.297e-07,0.084181
0.15657,2.2174e-07,0.087945
0.16459,2.4738e-07,0.07539
0.17303,2.1905e-07,0.082393
0.18191,2.587e-07,0.069492
0.19123,2.3457e-07,0.076686
0.20104,2.2425e-07,0.079407
0.21134,2.6702e-07,0.067431
0.22218,2.8074e-07,0.063325
0.23357,2.6499e-07,0.067413
0.24555,2.7946e-07,0.063008
0.25814,2.8393e-07,0.062359
0.27137,2.8466e-07,0.063013
0.28528,2.4602e-07,0.073515
0.29991,2.7263e-07,0.065578
0.31529,2.5404e-07,0.072425
0.33145,2.3936e-07,0.075608
0.34845,2.0044e-07,0.090958
0.36631,1.9771e-07,0.089952
0.38509,2.0813e-07,0.08856
0.40484,2.5388e-07,0.075941
0.42559,3.2075e-07,0.062662
0.44742,4.1837e-07,0.0504
0.47035,5.6333e-07,0.039029
0.49447,6.4861e-07,0.035385
0.51982,7.0162e-07,0.032423
0.54647,7.4885e-07,0.030887
0.57449,7.9371e-07,0.029746
0.60395,7.7271e-07,0.031527
0.63491,7.908e-07,0.0314
0.66747,8.0649e-07,0.031371
0.70169,8.2105e-07,0.031111
0.73766,8.1534e-07,0.031591
0.77548,7.7423e-07,0.033052
0.81524,6.5326e-07,0.038927
0.85704,5.2463e-07,0.046994
0.90098,4.3842e-07,0.055983
0.94718,3.9891e-07,0.063444
0.99574,4.0526e-07,0.066224
1.0468,5.6147e-07,0.049897
1.1005,7.0267e-07,0.041532
1.1569,8.0858e-07,0.038212
1.2162,8.4258e-07,0.037936
1.2786,7.9717e-07,0.040406
1.3441,8.6946e-07,0.038977
1.413,9.3907e-07,0.037931
1.4855,9.5853e-07,0.038037
1.5616,9.1301e-07,0.041396
1.6417,9.6448e-07,0.040523
1.7259,1.0758e-06,0.037696
1.8144,1.0371e-06,0.038774
1.9074,1.1241e-06,0.035493
2.0052,1.3999e-06,0.030784
2.108,1.8183e-06,0.025689
2.2161,2.2709e-06,0.022163
2.3297,2.3412e-06,0.02131
2.4491,2.0466e-06,0.023438
2.5747,1.8893e-06,0.024754
2.7067,1.7384e-06,0.026086
2.8455,1.6361e-06,0.027146
2.9914,1.4502e-06,0.029858
3.1447,1.2234e-06,0.033778
3.306,1.0539e-06,0.038626
3.4755,8.6469e-07,0.048271
3.6537,9.2518e-07,0.045049
3.841,1.0175e-06,0.043698
4.0379,1.1532e-06,0.039301
4.245,1.042e-06,0.043196
4.4626,1.0961e-06,0.041359
4.6914,1.2464e-06,0.035969
4.9319,1.2922e-06,0.033851
5.1848,1.2882e-06,0.03278
5.4506,1.1763e-06,0.036436
5.7301,1.0598e-06,0.03953
6.0239,1.0983e-06,0.039429
6.3327,1.2518e-06,0.03641
6.6574,1.4435e-06,0.035338
6.9988,1.491e-06,0.035892
7.3576,1.4909e-06,0.03887
7.7348,1.353e-06,0.044166
8.1314,1.2011e-06,0.050206
8.5483,6.9901e-07,0.087712
8.9866,3.7477e-07,0.16656
9.4473,3.4613e-07,0.19093
9.9317,5.4548e-07,0.12463
10.441,4.3744e-07,0.1693
10.976,6.8036e-07,0.11743
11.539,1.3154e-06,0.064807
12.131,2.1193e-06,0.042578
12.753,3.6941e-06,0.026336
13.406,6.1184e-06,0.017154
14.094,6.6503e-06,0.015365
14.816,3.6985e-06,0.020309
15.576,1.3759e-06,0.032724
16.375,2.246e-07,0.087141
17.214,2.9416e-08,0.41691
18.097,-8.7179e-09,1.1417
19.025,2.4476e-09,3.8332
20.0,8.6205e-10,7.7614
