Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,6.3964e-07,0.26811
0.030069,-1.5546e-06,1.3486
0.03161,-7.3592e-07,2.5496
0.033231,-9.519e-07,1.7412
0.034935,-1.9327e-06,0.74638
0.036726,1.3521e-06,0.97404
0.038609,2.0027e-06,0.58092
0.040589,-5.0168e-07,2.0615
0.04267,-1.6543e-06,0.59244
0.044857,1.6915e-06,0.52276
0.047157,7.9887e-07,1.043
0.049575,3.2386e-07,2.2972
0.052117,-1.3205e-06,0.49181
0.054789,-4.0636e-07,1.3771
0.057598,6.7435e-07,0.72427
0.060551,8.3977e-07,0.51529
0.063656,5.3451e-07,0.72286
0.066919,2.1521e-07,1.6277
0.07035,7.1707e-07,0.43135
0.073957,-1.3404e-07,2.1019
0.077749,4.7978e-07,0.55473
0.081735,3.9112e-07,0.62364
0.085926,1.1449e-07,2.0019
0.090332,7.3748e-07,0.28746
0.094963,4.0043e-07,0.50327
0.099832,4.2879e-07,0.43182
0.10495,5.1455e-07,0.35062
0.11033,4.1187e-07,0.40642
0.11599,4.9389e-07,0.32273
0.12193,7.7589e-07,0.19422
0.12819,6.8562e-07,0.21178
0.13476,6.2447e-07,0.2204
0.14167,7.2561e-07,0.18557
0.14893,9.1138e-07,0.13913
0.15657,9.3929e-07,0.13238
0.16459,1.0958e-06,0.11068
0.17303,1.3796e-06,0.084733
0.18191,1.2329e-06,0.092727
0.19123,1.2898e-06,0.086884
0.20104,1.5214e-06,0.072359
0.21134,1.6881e-06,0.064222
0.22218,1.6261e-06,0.065907
0.23357,1.7034e-06,0.062409
0.24555,1.9083e-06,0.05508
0.25814,2.2207e-06,0.046802
0.27137,2.4155e-06,0.04315
0.28528,2.4004e-06,0.044093
0.29991,2.5613e-06,0.041496
0.31529,3.0177e-06,0.035128
0.33145,3.0744e-06,0.034391
0.34845,2.9788e-06,0.035039
0.36631,3.1326e-06,0.033668
0.38509,3.6375e-06,0.030141
0.40484,3.9539e-06,0.02821
0.42559,4.5323e-06,0.025311
0.44742,5.1103e-06,0.022961
0.47035,5.6921e-06,0.020678
0.49447,6.4401e-06,0.018287
0.51982,6.0844e-06,0.01887
0.54647,5.8986e-06,0.019157
0.57449,5.8587e-06,0.01932
0.60395,6.1886e-06,0.018314
0.63491,6.4657e-06,0.017964
0.66747,6.9158e-06,0.016812
0.70169,6.6781e-06,0.017632
0.73766,7.306e-06,0.016153
0.77548,7.1587e-06,0.016489
0.81524,6.8406e-06,0.01713
0.85704,7.0218e-06,0.016621
0.90098,7.6731e-06,0.015816
0.94718,7.8122e-06,0.015735
0.99574,7.9397e-06,0.015715
1.0468,7.8788e-06,0.015911
1.1005,8.154e-06,0.015522
1.1569,8.0813e-06,0.01557
1.2162,8.4684e-06,0.015047
1.2786,8.033e-06,0.015827
1.3441,8.2201e-06,0.015661
1.413,8.1817e-06,0.015581
1.4855,8.2805e-06,0.015694
1.5616,8.1368e-06,0.016298
1.6417,7.9015e-06,0.016456
1.7259,8.121e-06,0.019071
1.8144,8.2508e-06,0.01838
1.9074,7.6118e-06,0.018699
2.0052,7.0944e-06,0.019047
2.108,6.4553e-06,0.020068
2.2161,5.715e-06,0.021392
2.3297,5.1299e-06,0.022347
2.4491,4.8419e-06,0.022816
2.5747,4.1771e-06,0.024504
2.7067,3.6379e-06,0.025903
2.8455,3.2163e-06,0.027611
2.9914,2.7235e-06,0.031071
3.1447,2.4933e-06,0.032167
3.306,2.0986e-06,0.036223
3.4755,1.9718e-06,0.037992
3.6537,1.5968e-06,0.04392
3.841,1.4582e-06,0.046078
4.0379,1.341e-06,0.04927
4.245,1.0164e-06,0.059505
4.4626,8.4217e-07,0.070951
4.6914,7.7468e-07,0.074036
4.9319,7.3803e-07,0.073813
5.1848,6.5134e-07,0.083329
5.4506,6.4585e-07,0.083555
5.7301,6.8081e-07,0.078845
6.0239,5.6682e-07,0.093551
6.3327,6.3288e-07,0.092544
6.6574,4.5683e-07,0.12174
6.9988,4.5193e-07,0.12795
7.3576,4.7681e-07,0.12614
7.7348,5.7026e-07,0.11386
8.1314,7.008e-07,0.1002
8.5483,7.9235e-07,0.091048
8.9866,8.2542e-07,0.092399
9.4473,7.9258e-07,0.1048
9.9317,8.5285e-07,0.094888
10.441,1.1415e-06,0.077175
10.976,9.1104e-07,0.093525
11.539,8.145e-07,0.10349
12.131,1.2801e-06,0.072965
12.753,9.8789e-07,0.078981
13.406,1.2205e-06,0.068612
14.094,9.5335e-06,0.020198
14.816,3.2593e-05,0.010704
15.576,9.509e-06,0.019558
16.375,6.339e-07,0.081964
17.214,1.6646e-07,0.1969
18.097,3.0561e-08,0.7274
19.025,2.3593e-09,8.545
20.0,5.4144e-09,2.7293
